,Номер заявки,Балл,Результат на финале,Результат на отборе,Статус,Класс
738,№ 1114605,2,2,75,Призер,10
739,№ 1114651,20,20,100,Победитель,11
740,№ 1114732,60,60,85,Призер,11
741,№ 1114753,40,40,85,Призер,11
742,№ 1114839,60,60,90,Призер,11
743,№ 1114858,50,50,80,Призер,11
744,№ 1114901,15,15,85,Призер,11
745,№ 1114940,60,60,85,Призер,11
746,№ 1114957,40,40,85,Призер,10
747,№ 1114967,2,2,90,Призер,10
748,№ 1115086,35,35,75,Призер,10
749,№ 1115144,50,50,90,Призер,11
750,№ 1115246,30,30,100,Победитель,10
751,№ 1115258,65,65,85,Призер,11
752,№ 1115297,75,75,75,Призер,10
753,№ 1115303,30,30,100,Победитель,10
754,№ 1115423,15,15,100,Победитель,11
755,№ 1115439,45,45,85,Призер,11
756,№ 1115555,2,2,75,Призер,10
757,№ 1115613,20,20,85,Призер,11
758,№ 1115697,20,20,75,Призер,10
