user_id,Класс,Регион,Задача 1,Задача 2,Задача 3,Задача 4,Задача 5,Сумма,Статус
32275,8,Республика Казахстан,7,7,7,7,-,28,Призёр
32812,8,Свердловская,7,7,7,7,-,28,Призёр
32899,8,Курганская,7,7,7,7,0,28,Призёр
15174,8,Новосибирская,7,7,6,7,0,27,Призёр
23511,8,Красноярский,7,7,7,6,-,27,Призёр
7295,8,Курганская,7,7,5,7,-,26,Призёр
10676,8,Алтайский,7,7,5,7,0,26,Призёр
12365,8,Челябинская,7,7,4,7,-,25,Призёр
12490,8,Новосибирская,7,7,4,7,0,25,Призёр
31652,8,Кемеровская область - Кузбасс,7,7,4,7,0,25,Призёр
32166,8,Кемеровская область - Кузбасс,7,7,4,7,0,25,Призёр
30841,8,Омская,7,7,3,7,0,24,Призёр
10076,8,Новосибирская,7,7,2,7,0,23,Призёр
32673,8,Хабаровский,7,7,2,7,0,23,Призёр
2222,8,Новосибирская,7,7,1,7,0,22,
2842,8,Новосибирская,7,7,1,7,0,22,
9565,8,Алтайский,7,7,1,7,0,22,
19962,8,Новосибирская,7,7,1,7,0,22,
23316,8,Новосибирская,7,1,7,7,-,22,
30384,8,Саха /Якутия/,7,7,1,7,0,22,
31048,8,Кемеровская область - Кузбасс,7,7,1,7,0,22,
31179,8,Новосибирская,7,1,7,7,-,22,
568,8,Новосибирская,7,7,0,7,0,21,
2437,8,Ханты-Мансийский Автономный округ - Югра,7,0,7,7,0,21,
2781,8,Новосибирская,7,7,7,-,-,21,
4041,8,Новосибирская,7,0,7,7,-,21,
5944,8,Новосибирская,7,0,7,7,-,21,
5996,8,Новосибирская,7,7,7,-,-,21,
6155,8,Новосибирская,7,7,0,7,-,21,
7701,8,Новосибирская,7,7,7,-,-,21,
8730,8,Республика Казахстан,7,0,7,7,-,21,
9068,8,Новосибирская,7,-,7,7,-,21,
9416,8,Забайкальский,7,7,7,-,-,21,
9560,8,Челябинская,7,7,7,0,-,21,
10669,8,Кемеровская область - Кузбасс,7,0,7,7,0,21,
10838,8,Новосибирская,7,0,7,7,-,21
13676,8,Бурятия,7,-,7,7,-,21
16820,8,Алтайский,7,0,7,7,-,21
21244,8,Новосибирская,7,0,7,7,-,21
22255,8,Алтайский,7,0,7,7,0,21
24127,8,Кемеровская область - Кузбасс,7,0,7,7,0,21
28612,8,Новосибирская,7,7,7,-,-,21
29283,8,Новосибирская,7,7,7,0,0,21
30083,8,Новосибирская,7,0,7,7,-,21
30209,8,Кемеровская область - Кузбасс,7,7,7,-,-,21
30458,8,Кемеровская область - Кузбасс,7,7,0,7,0,21
31504,8,Свердловская,7,0,7,7,-,21
32308,8,Республика Казахстан,7,0,7,7,0,21
115,8,Забайкальский,7,7,0,6,0,20
2259,8,Новосибирская,7,7,6,-,-,20
6654,8,Иркутская,7,0,6,7,0,20
8342,8,Новосибирская,7,7,1,5,0,20
12689,8,Курганская,7,7,-,6,0,20
32382,8,Курганская,7,7,1,4,-,19
22990,8,Курганская,7,0,4,7,0,18
24425,8,Омская,0,7,4,7,-,18
30706,8,Новосибирская,0,7,4,7,0,18
31046,8,Новосибирская,7,0,7,4,-,18
1984,8,Новосибирская,7,3,0,7,-,17
32005,8,Кемеровская область - Кузбасс,7,0,2,7,0,16
13275,8,Омская,7,1,1,6,0,15
19214,8,Свердловская,7,1,7,0,-,15
26784,8,Курганская,7,7,1,-,-,15
82,8,Новосибирская,7,7,0,0,0,14
2182,8,Забайкальский,7,0,7,-,-,14
5647,8,Новосибирская,7,0,7,-,-,14
13304,8,Алтайский,7,7,-,-,0,14
28825,8,Иркутская,-,7,7,-,0,14
30844,8,Омская,7,0,7,0,0,14
31078,8,Иркутская,7,7,-,-,-,14
9098,8,Новосибирская,7,3,-,-,-,10
21703,8,Свердловская,-,0,6,4,0,10
31734,8,Новосибирская,7,3,-,-,-,10
13805,8,Республика Казахстан,7,0,1,-,0,8
21145,8,Забайкальский,7,-,1,-,-,8
28532,8,Республика Казахстан,7,0,1,0,0,8
29401,8,Алтайский,-,0,1,7,-,8
31559,8,Алтайский,7,0,1,-,-,8
3709,8,Новосибирская,7,-,-,-,-,7
5223,8,Новосибирская,7,0,0,0,0,7
10567,8,Республика Казахстан,0,7,-,-,-,7
14680,8,Бурятия,7,-,-,-,-,7
18466,8,Новосибирская,7,0,0,-,-,7
21871,8,Омская,7,0,-,-,-,7
30874,8,Иркутская,0,0,0,7,0,7
32117,8,Новосибирская,7,-,-,-,-,7
31452,8,Челябинская,0,1,1,0,-,2
32365,8,Курганская,-,-,1,-,-,1
