"user_id Класс Регион                          Площадка, этап 1    score_1 score_2 score_3 score_4 score_5 Баллы, 1 этап     Статус"
"9986   8   Тюменская         Online (из дома)    100.00    0.00    100.00   29.00   54.00   283   Победитель"
"8245   8   Тюменская         Online (из дома)    100.00    0.00    100.00   70.00   0.00    270   Победитель"
"8366   8   Мордовия          Online (из дома)    100.00    0.00    100.00   70.00   0.00    270   Победитель"
"4251   8   Мордовия          Online (из дома)    100.00    0.00    100.00   63.00   0.00    263     Призёр"
"4850   8   Санкт-Петербург   Online (из дома)    100.00    0.00    100.00   56.00   4.00    260     Призёр"
"12446   8   Саратовская       Online (из дома)    100.00    0.00    100.00   2.00    58.00   260     Призёр"
"15884   8   Москва            Online (из дома)    100.00    0.00    100.00   45.00   8.00    253     Призёр"
"501   8   Новосибирская     Online (из дома)    100.00    0.00    100.00   51.00   0.00    251     Призёр"
"4352   8   Московская        Online (из дома)    100.00    0.00    100.00   1.00    46.00   247     Призёр"
"6345   8   Новосибирская     Online (из дома)    100.00    0.00    100.00   46.00   0.00    246     Призёр"
"15136   8   Нижегородская     Online (из дома)    100.00    0.00    100.00   7.00    34.00   241     Призёр"
"7351   8   Мордовия          Online (из дома)    100.00    0.00    100.00   40.00   0.00    240     Призёр"
"12053   8   Башкортостан      Online (из дома)    100.00    24.00   100.00   12.00   0.00    236     Призёр"
"12764   8   Мордовия          Online (из дома)    100.00    0.00    100.00   33.00   0.00    233     Призёр"
"11545   8   Новосибирская     Online (из дома)    100.00    0.00    100.00   28.00   0.00    228     Призёр"
"15795   8   Липецкая          Online (из дома)     88.00    6.00    100.00   18.00   4.00    216     Призёр"
"11178   8   Красноярский      Online (из дома)     96.00    0.00    100.00   0.00    18.00   214     Призёр"
"13350   8   Башкортостан      Online (из дома)    100.00    0.00    100.00   4.00    8.00    212     Призёр"
"3618   8   Липецкая          Online (из дома)    100.00    0.00    100.00   3.00    8.00    211     Призёр"
"10191   8   Сахалинская       Online (из дома)    100.00    0.00    100.00   10.00   0.00    210     Призёр"
"10091   8   Иркутская         Online (из дома)    100.00    0.00    100.00   9.00    0.00    209     Призёр"
"7432   8   Ростовская        Online (из дома)    100.00    0.00    100.00   4.00    0.00    204     Призёр"
"11081   8   Воронежская       Online (из дома)    100.00    0.00    100.00   0.00    4.00    204     Призёр"
"12063   8   Воронежская       Online (из дома)    100.00    0.00    100.00   0.00    4.00    204     Призёр"
"15786   8   Москва            Online (из дома)    100.00    0.00    100.00   4.00    0.00    204     Призёр"
"498   8   Тюменская         Online (из дома)    100.00    0.00    100.00   0.00    0.00    200     Призёр"
""
"Page 4"
" 5875   8   Республика Казахстан   Online (из дома)    100.00   0.00    100.00   0.00   0.00    200   Призёр"
"5943   8   Москва                 Online (из дома)    100.00   0.00    100.00   0.00   0.00    200   Призёр"
"7994   8   Новосибирская          Online (из дома)    100.00   0.00    100.00   0.00   0.00    200   Призёр"
"8136   8   Москва                 Online (из дома)    100.00   0.00    100.00   0.00   0.00    200   Призёр"
"8294   8   Москва                 Online (из дома)    100.00   0.00    100.00   0.00   0.00    200   Призёр"
"8933   8   Москва                 Online (из дома)    100.00   0.00    100.00   0.00   0.00    200   Призёр"
"12120   8   Ульяновская            Online (из дома)    100.00   0.00    100.00   0.00   0.00    200   Призёр"
"2233   8   Новосибирская          Online (из дома)     88.00   0.00    100.00   8.00   0.00    196   Призёр"
"15674   8   Липецкая               Online (из дома)     88.00   0.00    100.00   3.00   4.00    195   Призёр"
"6431   8   Вологодская            Online (из дома)     1.00    49.00   100.00   9.00   30.00   189   Призёр"
"63   8   Вологодская            Online (из дома)     84.00   0.00    100.00   0.00   4.00    188   Призёр"
"7545   8   Мордовия               Online (из дома)     36.00   0.00    100.00   0.00   0.00    136"
"2402   8   Москва                 Online (из дома)    100.00   3.00     29.00   0.00   0.00    132"
"8030   8   Республика Казахстан   Online (из дома)     44.00   0.00     85.00   0.00   0.00    129"
"2964   8   Москва                 Online (из дома)     0.00    0.00    100.00   0.00   8.00    108"
"14679   8   Иркутская              Online (из дома)     4.00    0.00    100.00   0.00   0.00    104"
"953   8   Краснодарский          Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"1775   8   Москва                 Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"2559   8   Башкортостан           Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"2914   8   Москва                 Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"4220   8   Республика Казахстан   Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"5996   8   Новосибирская          Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"6039   8   Новосибирская          Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"6805   8   Республика Казахстан   Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"6810   8   Республика Казахстан   Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"8315   8   Москва                 Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"9543   8   Удмуртская             Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"10612   8   Республика Казахстан   Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"11182   8   Республика Казахстан   Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"12682   8   Мордовия               Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"13388   8   Тюменская              Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"13803   8   Москва                 Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"13935   8   Республика Казахстан   Online (из дома)     0.00    0.00    100.00   0.00   0.00    100"
"5901   8   Сахалинская            Online (из дома)     44.00   0.00     55.00   0.00   0.00     99"
"14857   8   Татарстан              Online (из дома)     0.00    0.00     82.00   0.00   0.00     82"
""
"Page 5"
"10912   8   Удмуртская                    Online (из дома)     72.00   0.00   0.00    0.00    0.00   72"
"4026   8   Ханты-Мансийский Автономный округ"
"Online"
"- Югра"
"(из дома)     4.00    0.00   65.00   0.00    0.00   69"
"2972   8   Новосибирская                 Online (из дома)     0.00    0.00   65.00   0.00    0.00   65"
"5004   8   Ханты-Мансийский Автономный округ"
"Online"
"- Югра"
"(из дома)     0.00    0.00   65.00   0.00    0.00   65"
"5114   8   Удмуртская                    Online (из дома)     0.00    0.00   65.00   0.00    0.00   65"
"6654   8   Иркутская                     Online (из дома)     0.00    0.00   65.00   0.00    0.00   65"
"9974   8   Московская                    Online (из дома)     0.00    0.00   65.00   0.00    0.00   65"
"14981   8   Москва                        Online (из дома)     0.00    0.00   65.00   0.00    0.00   65"
"14539   8   Новосибирская                 Online (из дома)     0.00    0.00   53.00   0.00    0.00   53"
"13915   8   Москва                        Online (из дома)     0.00    0.00   49.00   0.00    0.00   49"
"7708   8   Сахалинская                   Online (из дома)     0.00    0.00   31.00   0.00    0.00   31"
"2300   8   Амурская                      Online (из дома)     0.00    0.00   0.00    27.00   0.00   27"
"13343   8   Нижегородская                 Online (из дома)     0.00    0.00   17.00   0.00    0.00   17"
"4122   8   Москва                        Online (из дома)     0.00    0.00   15.00   0.00    0.00   15"
"7196   8   Мордовия                      Online (из дома)     0.00    0.00   0.00    12.00   0.00   12"
"11175   8   Республика Казахстан          Online (из дома)     0.00    0.00   6.00    0.00    0.00   6"
"2896   8   Москва                        Online (из дома)     4.00    0.00   0.00    0.00    0.00   4"
"132   8   Москва                        Online (из дома)     0.00    0.00   0.00    0.00    0.00   0"
"537   8   Москва                        Online (из дома)       -       -      -       -       -    0"
"830   8   Красноярский                  Online (из дома)       -       -      -       -       -    0"
"1973   8   Новосибирская                 Online (из дома)     0.00    0.00   0.00    0.00    0.00   0"
"2258   8   Московская                    Online (из дома)       -       -      -       -       -    0"
"2329   8   Новосибирская                 Online (из дома)     0.00    0.00   0.00    0.00    0.00   0"
"2561   8   Московская                    Online (из дома)     0.00    0.00   0.00    0.00    0.00   0"
"2580   8   Удмуртская                    Online (из дома)       -       -      -       -       -    0"
"2631   8   Новосибирская                 Online (из дома)       -       -      -       -       -    0"
"2639   8   Новосибирская                 Online (из дома)       -       -      -       -       -    0"
"2705   8   Москва                        Online (из дома)       -       -      -       -       -    0"
"2843   8   Краснодарский                 Online (из дома)       -       -      -       -       -    0"
"2891   8   Краснодарский                 Online (из дома)       -       -      -       -       -    0"
"2893   8   Краснодарский                 Online (из дома)       -       -      -       -       -    0"
"2926   8   Москва                        Online (из дома)       -       -      -       -       -    0"
"3330   8   Кировская                     Online (из дома)       -       -      -       -       -    0"
"3726   8   Мордовия                      Online (из дома)       -       -      -       -       -    0"
"4018   8   Мордовия                      Online (из дома)     0.00    0.00   0.00    0.00    0.00   0"
""
"Page 6"
" 4087   8   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"4141   8   Мордовия                        Online (из дома)       -      -      -      -      -    0"
"4177   8   Краснодарский                   Online (из дома)       -      -      -      -      -    0"
"4287   8   Москва                          Online (из дома)       -      -      -      -      -    0"
"4420   8   Алтайский                       Online (из дома)       -      -      -      -      -    0"
"4696   8   Новосибирская                   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"4998   8   Новосибирская                   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"5140   8   Москва                          Online (из дома)       -      -      -      -      -    0"
"5372   8   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"5929   8   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"6053   8   Тюменская                       Online (из дома)       -      -      -      -      -    0"
"6438   8   Саратовская                     Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"6647   8   Сахалинская                     Online (из дома)       -      -      -      -      -    0"
"6968   8   Тюменская                       Online (из дома)       -      -      -      -      -    0"
"7329   8   Московская                      Online (из дома)       -      -      -      -      -    0"
"7869   8   Камчатский                      Online (из дома)       -      -      -      -      -    0"
"8049   8   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"8517   8   Республика Казахстан            Online (из дома)       -      -      -      -      -    0"
"8797   8   Сахалинская                     Online (из дома)       -      -      -      -      -    0"
"8997   8   Краснодарский                   Online (из дома)       -      -      -      -      -    0"
"9183   8   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"9451   8   Новосибирская                   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"9455   8   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"9767   8   Московская                      Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"10539   8   Свердловская                    Online (из дома)       -      -      -      -      -    0"
"10700   8   Иркутская                       Online (из дома)       -      -      -      -      -    0"
"11340   8   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"11447   8   Московская                      Online (из дома)       -      -      -      -      -    0"
"11774   8   Московская                      Online (из дома)       -      -      -      -      -    0"
"11887   8   Белгородская                    Online (из дома)       -      -      -      -      -    0"
"13534   8   Краснодарский                   Online (из дома)       -      -      -      -      -    0"
"13963   8   Республика Казахстан            Online (из дома)       -      -      -      -      -    0"
"14632   8   Иркутская                       Online (из дома)       -      -      -      -      -    0"
"14752   8   Кемеровская область - Кузбасс   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"15591   8   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
""
"Page 7"
"15625   8   Новосибирская                   Online (из дома)       -        -        -       -        -      0"
"15642   8   Новосибирская                   Online (из дома)       -        -        -       -        -      0"
"15931   8   Новосибирская                   Online (из дома)       -        -        -       -        -      0"
"16003   8   Новосибирская                   Online (из дома)       -        -        -       -        -      0"
"6611   9   Московская                      Online (из дома)    100.00   100.00   100.00   74.00   100.00   474   Победитель"
"5251   9   Республика Беларусь             Online (из дома)    100.00    33.00   100.00   73.00    96.00   402   Победитель"
"5519   9   Свердловская                    Online (из дома)    100.00    51.00   100.00   70.00    70.00   391   Победитель"
"8003   9   Курская                         Online (из дома)    100.00    39.00   100.00   63.00    75.00   377   Победитель"
